rtcode,yr,cmdcode,export
8,2020,1,507085
8,2020,2,763274
8,2020,3,54425255
8,2020,4,3183388
8,2020,5,3050468
8,2020,6,3164200
8,2020,7,81388242
8,2020,8,26589993
8,2020,9,6886775
8,2020,10,196974
8,2020,11,1218370
8,2020,12,48099059
8,2020,13,300989
8,2020,14,108109
8,2020,15,2737552
8,2020,16,64296700
8,2020,17,150818
8,2020,18,1042402
8,2020,19,8713952
8,2020,20,27193974
8,2020,21,2510168
8,2020,22,13156595
8,2020,23,540973
8,2020,24,2980847
8,2020,25,78726279
8,2020,26,75112531
8,2020,27,212263532
8,2020,28,3418542
8,2020,29,364542
8,2020,30,3525786
8,2020,31,652015
8,2020,32,11585297
8,2020,33,5185524
8,2020,34,3361332
8,2020,35,167564
8,2020,36,1192882
8,2020,37,4621
8,2020,38,2551928
8,2020,39,18065408
8,2020,40,9346216
8,2020,41,8898487
8,2020,42,6781698
8,2020,43,28246
8,2020,44,29163521
8,2020,45,119
8,2020,46,214487
8,2020,47,824615
8,2020,48,47037067
8,2020,49,1784681
8,2020,50,5542
8,2020,51,86625
8,2020,52,668721
8,2020,53,9873
8,2020,54,400960
8,2020,55,250715
8,2020,56,2153869
8,2020,57,9817
8,2020,58,164269
8,2020,59,1672830
8,2020,60,773946
8,2020,61,208630956
8,2020,62,252504656
8,2020,63,36718654
8,2020,64,383562708
24,2020,1,110489
24,2020,2,358971
24,2020,3,73635102
24,2020,4,714074
24,2020,5,13316
24,2020,6,1121
24,2020,7,1806839
24,2020,8,3325694
24,2020,9,1930368
24,2020,10,388679
24,2020,11,3726047
24,2020,12,20644
24,2020,14,38
24,2020,15,332981
24,2020,16,599759
24,2020,17,5914237
24,2020,18,52708
24,2020,19,187950
24,2020,20,1269443
24,2020,21,325039
24,2020,22,14891123
24,2020,23,4787928
24,2020,24,338924
24,2020,25,53860021
24,2020,27,19594604070
24,2020,28,929916
24,2020,29,328346
24,2020,30,58128
24,2020,31,413226
24,2020,32,59827
24,2020,33,354657
24,2020,34,1578847
24,2020,35,38682
24,2020,36,36035
24,2020,37,74
24,2020,38,4797662
24,2020,39,1534145
8,2020,65,5780778
8,2020,66,58809
8,2020,67,1363
8,2020,68,5005241
8,2020,69,11526564
8,2020,70,4241378
8,2020,71,12937730
8,2020,72,195837513
8,2020,73,42950369
8,2020,74,16648913
8,2020,75,16018
8,2020,76,58154142
8,2020,78,4707189
8,2020,79,431104
8,2020,80,3978
8,2020,81,9154
8,2020,82,1728877
8,2020,83,40445025
8,2020,84,41341628
8,2020,85,118470116
8,2020,86,855665
8,2020,87,30933927
8,2020,88,1163835
8,2020,89,63959
8,2020,90,6155072
8,2020,91,19338
8,2020,92,297
8,2020,94,39004246
8,2020,95,5493223
8,2020,96,9398346
8,2020,97,23252
8,2020,99,1148009
24,2020,40,1691854
24,2020,41,124722
24,2020,42,91821
24,2020,43,17265
24,2020,44,32323581
24,2020,45,76
24,2020,46,4243
