rtcode,yr,cmdcode,import
8,2020,1,26755928
8,2020,2,46438175
8,2020,3,77963202
8,2020,4,31178705
8,2020,5,3400207
8,2020,6,7803682
8,2020,7,20537528
8,2020,8,66387335
8,2020,9,34544985
8,2020,10,100956621
8,2020,11,14798644
8,2020,12,15121984
8,2020,13,877810
8,2020,14,63519
8,2020,15,53189682
8,2020,16,22080890
8,2020,17,37333702
8,2020,18,22220178
8,2020,19,64321133
8,2020,20,43964961
8,2020,21,60501694
8,2020,22,106457538
8,2020,23,40163945
8,2020,24,66269787
8,2020,25,34352955
8,2020,26,60091
8,2020,27,466511131
8,2020,28,18506650
8,2020,29,14234354
8,2020,30,231285536
8,2020,31,39509428
8,2020,32,41522434
8,2020,33,67601230
8,2020,34,74481263
8,2020,35,11225051
8,2020,36,3433541
8,2020,37,1603401
8,2020,38,50424386
8,2020,39,213616460
8,2020,40,49838465
8,2020,41,101490654
8,2020,42,9980130
8,2020,43,462332
8,2020,44,80522078
8,2020,45,261224
8,2020,46,337448
8,2020,47,2070419
8,2020,48,107789843
8,2020,49,25407923
8,2020,50,96230
8,2020,51,5606105
8,2020,52,48792907
8,2020,53,1946006
8,2020,54,46111054
8,2020,55,36783962
8,2020,56,29767378
8,2020,57,6579711
8,2020,58,17896381
8,2020,59,39064410
8,2020,60,47705191
8,2020,61,140825410
24,2020,1,9960052
24,2020,2,305807743
24,2020,3,17178487
24,2020,4,126014764
24,2020,5,6898329
24,2020,6,963106
24,2020,7,51443843
24,2020,8,9490005
24,2020,9,5897696
8,2020,62,115681043
8,2020,63,34785006
8,2020,64,101142236
8,2020,65,5852265
8,2020,66,2385505
8,2020,67,1163606
8,2020,68,31548594
8,2020,69,73785293
8,2020,70,30351221
8,2020,71,17854355
8,2020,72,264401542
8,2020,73,134826383
8,2020,74,8144782
8,2020,75,20366
8,2020,76,80384049
8,2020,78,680427
8,2020,79,3525515
8,2020,80,65184
8,2020,81,647442
8,2020,82,12801479
8,2020,83,62452809
8,2020,84,418835211
8,2020,85,391475897
8,2020,86,356383
8,2020,87,382735127
8,2020,88,2031931
8,2020,89,2127024
8,2020,90,69804483
8,2020,91,2645991
8,2020,92,390183
8,2020,94,68501902
8,2020,95,19992257
8,2020,96,35901234
8,2020,97,78011
8,2020,99,2533652
24,2020,10,536415027
24,2020,11,217677088
24,2020,12,10490163
24,2020,13,3132855
24,2020,14,59908
24,2020,15,330015997
24,2020,16,84849020
24,2020,17,139884537
24,2020,18,7286291
24,2020,19,102806176
24,2020,20,28122173
24,2020,21,58551685
24,2020,22,105231621
24,2020,23,18928740
24,2020,24,21315806
24,2020,25,15577282
24,2020,26,2747442
24,2020,27,927863889
24,2020,28,66935428
24,2020,29,51194078
24,2020,30,279263864
24,2020,31,58850748
24,2020,32,51805703
24,2020,33,62213219
24,2020,34,85955267
24,2020,35,13468021
24,2020,36,7364857
24,2020,37,1854818
24,2020,38,186585717
24,2020,39,365707672
24,2020,40,122259206
24,2020,41,87716
24,2020,42,9288817
24,2020,43,2412
24,2020,44,15366599
24,2020,45,214154
24,2020,46,103819
24,2020,47,16501648
24,2020,48,99343927
24,2020,49,183360251
24,2020,50,5649461
24,2020,51,407894
24,2020,52,4571341
24,2020,53,207186
24,2020,54,12402212
24,2020,55,8118040
24,2020,56,38291454
24,2020,57,3464449
24,2020,58,1203341
24,2020,59,8636059
24,2020,60,1499659
24,2020,61,21701566
24,2020,62,25269172
24,2020,63,98983644
24,2020,64,44385573
24,2020,65,3382311
24,2020,66,603783
24,2020,67,1479410
24,2020,68,23065918
24,2020,69,33788542
24,2020,70,49296270
24,2020,71,1835478
24,2020,72,172244557
24,2020,73,397116411
24,2020,74,8889683
24,2020,75,3244831
24,2020,76,41600564
24,2020,78,3959016
24,2020,79,626602
24,2020,80,185300
24,2020,81,298820
24,2020,82,31637081
24,2020,83,50346978
24,2020,84,1517078641
24,2020,85,594938675
31,2020,1,68348202
32,2020,1,23612195
31,2020,2,78690658
32,2020,2,97788989
31,2020,3,21145941
32,2020,3,48201193
31,2020,4,153326800
32,2020,4,13717318
31,2020,5,1243416
32,2020,5,34347270
31,2020,6,19987362
32,2020,6,3494322
31,2020,7,79415717
32,2020,7,39332322
31,2020,8,124354048
32,2020,8,381902746
31,2020,9,62983320
32,2020,9,131726345
31,2020,10,360503480
32,2020,10,29249559
31,2020,11,21828156
32,2020,11,27922215
31,2020,12,43334594
32,2020,12,2068632291
31,2020,13,978431
32,2020,13,51652755
31,2020,14,1076000
32,2020,14,3303139
31,2020,15,161923998
32,2020,15,74879727
31,2020,16,33739446
32,2020,16,104398864
31,2020,17,138011371
32,2020,17,31057749
31,2020,18,75958453
32,2020,18,151566735
31,2020,19,107290474
32,2020,19,37183071
31,2020,20,38265032
32,2020,20,113958575
31,2020,21,96955322
32,2020,21,183820628
31,2020,22,61035373
32,2020,22,79288293
31,2020,23,67932083
32,2020,23,67318965
31,2020,24,85493959
32,2020,24,59986110
31,2020,25,36302196
32,2020,25,89004655
31,2020,26,528913
32,2020,26,369128385
31,2020,27,281151085
32,2020,27,2566141639
31,2020,28,104128147
32,2020,28,566736100
31,2020,29,40344834
32,2020,29,2539675189
31,2020,30,377146393
32,2020,30,2143935584
31,2020,31,101312462
32,2020,31,1117680070
31,2020,32,57449535
32,2020,32,382465797
31,2020,33,137107012
32,2020,33,392269732
31,2020,34,120828168
32,2020,34,325706785
31,2020,35,14870364
32,2020,35,176864029
31,2020,36,2003712
32,2020,36,10196325
31,2020,37,2706075
32,2020,37,29942561
31,2020,38,180527331
32,2020,38,1260813476
31,2020,39,346015127
32,2020,39,2108605587
31,2020,40,117528156
32,2020,40,741384658
31,2020,41,429420
32,2020,41,11837501
31,2020,42,16785526
32,2020,42,70101871
31,2020,43,500011
32,2020,43,929068
31,2020,44,258225562
32,2020,44,81375006
31,2020,45,719614
32,2020,45,37537293
31,2020,46,223593
32,2020,46,2037842
31,2020,47,207006
32,2020,47,150156427
31,2020,48,166484632
32,2020,48,682330377
31,2020,49,28847970
32,2020,49,49673445
31,2020,50,42937
32,2020,50,198463
31,2020,51,888461
32,2020,51,1433401
31,2020,52,6288854
32,2020,52,56267079
31,2020,53,3592344
32,2020,53,6206308
31,2020,54,33282350
32,2020,54,153458991
31,2020,55,12355060
32,2020,55,184097528
31,2020,56,29428297
32,2020,56,93208980
31,2020,57,15268734
32,2020,57,13762961
31,2020,58,7494703
32,2020,58,15781187
31,2020,59,8765731
32,2020,59,62706931
31,2020,60,20762649
32,2020,60,109464869
31,2020,61,114504710
32,2020,61,112405812
31,2020,62,91815772
32,2020,62,121288231
31,2020,63,57369227
31,2020,64,68700432
31,2020,65,3641226
31,2020,66,565660
31,2020,67,1088801
31,2020,68,50153301
31,2020,69,86233270
31,2020,70,69563441
31,2020,71,13216501
31,2020,72,374186824
31,2020,73,571878743
31,2020,74,24154064
31,2020,75,2820449
31,2020,76,92790072
31,2020,78,242058
31,2020,79,1241524
31,2020,80,362797
31,2020,81,824776
31,2020,82,43151280
31,2020,83,53622726
31,2020,84,1567478358
31,2020,85,969194676
24,2020,86,181731672
31,2020,86,141440562
24,2020,87,547840094
31,2020,87,810310637
24,2020,88,137016144
24,2020,89,33381798
31,2020,89,76760132
24,2020,90,239133395
31,2020,90,228276968
24,2020,91,2707844
31,2020,91,10458585
24,2020,92,617524
31,2020,92,1375536
24,2020,93,27952388
24,2020,94,109305462
31,2020,94,143888686
24,2020,95,10871303
31,2020,95,31993810
24,2020,96,16237924
31,2020,96,68407157
24,2020,97,765820
31,2020,97,614868
31,2020,99,524413541
36,2020,1,120534669
36,2020,2,567117439
36,2020,3,736965711
36,2020,4,1109642836
36,2020,5,77683927
36,2020,6,104420668
36,2020,7,287845256
36,2020,8,923153602
36,2020,9,698607933
36,2020,10,422551539
36,2020,11,164984785
36,2020,12,333029406
